iter	Passed	Remaining
0	1	365
1	2	264
2	3	231
3	4	208
4	5	195
5	5	187
6	6	181
7	7	173
8	7	168
9	8	165
10	9	162
11	10	159
12	10	157
13	11	155
14	12	152
15	13	150
16	13	149
17	14	148
18	15	146
19	16	145
20	16	144
21	17	144
22	18	142
23	19	141
24	20	140
25	20	139
26	21	137
27	22	137
28	23	135
29	23	134
30	24	133
31	25	132
32	25	131
33	26	130
34	27	129
35	28	127
36	28	127
37	29	126
38	30	127
39	31	127
40	32	126
41	33	125
42	34	124
43	34	123
44	35	122
45	36	121
46	37	121
47	37	120
48	38	119
49	39	119
50	40	119
51	41	118
52	42	117
53	43	117
54	44	116
55	45	116
56	46	115
57	47	115
58	47	114
59	48	113
60	49	112
61	50	111
62	51	110
63	51	110
64	52	109
65	53	108
66	54	107
67	54	106
68	55	105
69	56	105
70	57	104
71	58	103
72	58	102
73	59	101
74	60	100
75	61	99
76	61	98
77	62	98
78	63	97
79	64	96
80	64	95
81	65	94
82	66	93
83	67	92
84	67	91
85	68	91
86	69	90
87	70	89
88	70	88
89	71	87
90	72	87
91	73	86
92	74	85
93	75	84
94	75	83
95	76	83
96	77	82
97	78	81
98	79	80
99	79	79
100	80	78
101	81	78
102	82	77
103	83	76
104	83	75
105	84	75
106	85	74
107	86	73
108	87	72
109	87	71
110	88	71
111	89	70
112	90	69
113	90	68
114	91	67
115	92	66
116	93	66
117	93	65
118	94	64
119	95	63
120	95	62
121	96	61
122	97	60
123	98	60
124	98	59
125	99	58
126	100	57
127	101	56
128	102	56
129	102	55
130	103	54
131	104	53
132	105	52
133	105	52
134	106	51
135	107	50
136	107	49
137	108	48
138	109	47
139	110	47
140	110	46
141	111	45
142	112	44
143	112	43
144	113	43
145	114	42
146	114	41
147	115	40
148	116	39
149	117	39
150	118	38
151	118	37
152	119	36
153	120	35
154	121	35
155	121	34
156	122	33
157	123	32
158	124	31
159	124	31
160	125	30
161	126	29
162	126	28
163	127	28
164	128	27
165	129	26
166	130	25
167	130	24
168	131	24
169	132	23
170	132	22
171	133	21
172	134	20
173	135	20
174	135	19
175	136	18
176	137	17
177	138	17
178	138	16
179	139	15
180	140	14
181	141	13
182	142	13
183	142	12
184	143	11
185	144	10
186	145	10
187	146	9
188	147	8
189	147	7
190	148	7
191	149	6
192	150	5
193	151	4
194	152	3
195	153	3
196	153	2
197	154	1
198	155	0
199	156	0
